packet_size,,,tcp_seq,tcp_size,tcp_ack,nvme_packet_type,nvme_packet_pdo,nvme_packet_plen,nvme_cid,nvme_opc,remain_data
140,2.499999993688107e-07,0,793691292,72,594317374,4,0,72,8211,2,-1
628,0.00013151599999616792,1,594321518,560,793691364,7,24,536,8211,-1,1
628,0.0,1,594321518,560,793691364,5,0,24,8211,-1,-1
140,0.002181452000002082,0,793691364,72,594322078,4,0,72,11,6,-1
1316,2.5461000006998802e-05,1,594324974,1248,793691436,7,24,4120,11,-1,1
1316,0.0,1,594324974,1248,793691436,5,0,24,11,-1,-1
140,0.001161245000005806,0,518255425,72,4155632713,4,0,72,33,2,-1
1316,2.4799000001962668e-05,1,4155635609,1248,518255497,7,24,4120,33,-1,1
1316,0.0,1,4155635609,1248,518255497,5,0,24,33,-1,-1
140,3.219999911152627e-07,0,793691436,72,594326222,4,0,72,8212,6,-1
140,8.600000001024455e-08,0,518255497,72,4155636857,4,0,72,34,2,-1
1316,2.3882000007802162e-05,1,594329118,1248,793691508,7,24,4120,8212,-1,1
1316,0.0,1,594329118,1248,793691508,5,0,24,8212,-1,-1
1316,2.363500000512886e-05,1,4155639753,1248,518255569,7,24,4120,34,-1,1
1316,0.0,1,4155639753,1248,518255569,5,0,24,34,-1,-1
140,0.001837826000013365,0,518255569,72,4155641001,4,0,72,35,2,-1
1316,2.423799999462517e-05,1,4155643897,1248,518255641,7,24,4120,35,-1,1
1316,0.0,1,4155643897,1248,518255641,5,0,24,35,-1,-1
140,0.0008397830000035356,0,3847803978,72,1329099968,4,0,72,17,2,-1
1316,2.3448999996844577e-05,1,1329102864,1248,3847804050,7,24,4120,17,-1,1
1316,0.0,1,1329102864,1248,3847804050,5,0,24,17,-1,-1
140,0.0010550660000063772,0,3953253959,72,1487854170,4,0,72,1,2,-1
1316,2.452699999366814e-05,1,1487857066,1248,3953254031,7,24,4120,1,-1,1
1316,0.0,1,1487857066,1248,3953254031,5,0,24,1,-1,-1
140,8.899999670575198e-08,0,3953254031,72,1487858314,4,0,72,2,2,-1
1316,2.670399999260553e-05,1,1487861210,1248,3953254103,7,24,4120,2,-1,1
1316,0.0,1,1487861210,1248,3953254103,5,0,24,2,-1,-1
140,2.7599999441463297e-07,0,3953254103,72,1487862458,4,0,72,3,2,-1
1316,2.593199999978424e-05,1,1487865354,1248,3953254175,7,24,4120,3,-1,1
1316,0.0,1,1487865354,1248,3953254175,5,0,24,3,-1,-1
140,2.6700000432811066e-07,0,3953254175,72,1487866602,4,0,72,4,2,-1
1316,2.7302000006557137e-05,1,1487869498,1248,3953254247,7,24,4120,4,-1,1
1316,0.0,1,1487869498,1248,3953254247,5,0,24,4,-1,-1
140,3.92000004012516e-07,0,3953254247,72,1487870746,4,0,72,5,2,-1
1316,2.4590999998963525e-05,1,1487873642,1248,3953254319,7,24,4120,5,-1,1
1316,0.0,1,1487873642,1248,3953254319,5,0,24,5,-1,-1
140,2.1699999308566476e-07,0,3953254319,72,1487874890,4,0,72,6,2,-1
1316,2.281300000106512e-05,1,1487877786,1248,3953254391,7,24,4120,6,-1,1
1316,0.0,1,1487877786,1248,3953254391,5,0,24,6,-1,-1
140,2.7300001192998025e-07,0,3953254391,72,1487879034,4,0,72,7,2,-1
1316,2.4693999989722215e-05,1,1487881930,1248,3953254463,7,24,4120,7,-1,1
1316,0.0,1,1487881930,1248,3953254463,5,0,24,7,-1,-1
140,2.6499999705720256e-07,0,3953254463,72,1487883178,4,0,72,8,2,-1
1316,2.478999999766529e-05,1,1487886074,1248,3953254535,7,24,4120,8,-1,1
1316,0.0,1,1487886074,1248,3953254535,5,0,24,8,-1,-1
140,0.001875651999995398,0,3847804050,72,1329104112,4,0,72,18,2,-1
1316,2.5836999995476617e-05,1,1329107008,1248,3847804122,7,24,4120,18,-1,1
1316,0.0,1,1329107008,1248,3847804122,5,0,24,18,-1,-1
140,2.1700000729651947e-07,0,3847804122,72,1329108256,4,0,72,19,2,-1
1316,2.46879999963312e-05,1,1329111152,1248,3847804194,7,24,4120,19,-1,1
1316,0.0,1,1329111152,1248,3847804194,5,0,24,19,-1,-1
140,4.219999993892998e-07,0,3847804194,72,1329112400,4,0,72,20,2,-1
1316,2.30699999974604e-05,1,1329115296,1248,3847804266,7,24,4120,20,-1,1
1316,0.0,1,1329115296,1248,3847804266,5,0,24,20,-1,-1
140,2.680000079635647e-07,0,3847804266,72,1329116544,4,0,72,21,2,-1
1316,2.4795999991056306e-05,1,1329119440,1248,3847804338,7,24,4120,21,-1,1
1316,0.0,1,1329119440,1248,3847804338,5,0,24,21,-1,-1
140,2.639999934217485e-07,0,3847804338,72,1329120688,4,0,72,22,2,-1
1316,2.4987999992731602e-05,1,1329123584,1248,3847804410,7,24,4120,22,-1,1
1316,0.0,1,1329123584,1248,3847804410,5,0,24,22,-1,-1
140,2.200000039920269e-07,0,3847804410,72,1329124832,4,0,72,23,2,-1
